Student_ID,Name,Gender,Age,Department,Program,Year,Semester,Attendance,Assignment,CAT,FinalExam,StudyHours,InternetAccess,Device,ParentIncome,Scholarship,SkillsCount,Projects,LMSLogins,LibraryVisits,Location,Graduated,Placement,GPA,Total,Grade
S00028,Student_28,M,27,CS,MSc,2,2,96,94,55,69,4,Yes,Desktop,209665,No,8,3,99,16,Kisumu,Yes,Yes,2.96,73.900000000000006,A
S00029,Student_29,M,31,AI,BSc,4,1,48,64,69,45,1,Yes,Desktop,230450,No,12,6,116,15,Kisumu,Yes,No,2.1600000000000001,53.899999999999999,C
S00030,Student_30,M,34,DS,MSc,4,2,85,86,82,51,5,Yes,Desktop,92568,Yes,1,0,159,15,Kisumu,Yes,No,2.7000000000000002,67.599999999999994,B
S00031,Student_31,F,24,SE,BSc,4,1,85,75,70,93,6,No,Laptop,239912,No,3,2,74,37,Nakuru,Yes,Yes,3.3599999999999999,84,A
S00032,Student_32,F,22,DS,MSc,4,2,84,90,93,50,1,Yes,Laptop,201920,Yes,7,4,87,39,Nairobi,Yes,No,2.7999999999999998,70,A
S00033,Student_33,M,29,IT,BSc,3,1,91,54,61,93,12,No,Desktop,79354,Yes,7,1,172,45,Mombasa,Yes,Yes,3.1400000000000001,78.599999999999994,A
S00034,Student_34,F,25,CS,BSc,3,1,95,39,49,59,4,No,Desktop,262003,Yes,0,4,186,10,Eldoret,Yes,No,2.2599999999999998,56.600000000000001,C
S00035,Student_35,M,33,AI,BSc,1,2,40,59,49,79,1,Yes,Tablet,49682,Yes,15,4,30,20,Nakuru,No,No,2.6000000000000001,65.099999999999994,B
S00036,Student_36,F,18,AI,BSc,1,2,70,44,38,34,2,No,Desktop,235338,Yes,10,3,95,48,Kisumu,Yes,No,1.6200000000000001,40.399999999999999,D
S00037,Student_37,F,30,AI,MSc,1,1,64,41,58,87,5,No,Tablet,23621,No,15,6,105,25,Nakuru,Yes,No,2.79,69.700000000000003,B
S00038,Student_38,M,30,SE,BSc,4,2,72,38,64,23,10,Yes,Tablet,245856,No,2,1,22,60,Nairobi,Yes,No,1.5600000000000001,39.100000000000001,F
S00039,Student_39,F,33,DS,BSc,1,2,98,72,89,38,7,No,Desktop,24491,Yes,14,4,196,0,Nairobi,No,No,2.4399999999999999,61,B
S00040,Student_40,M,34,SE,MSc,2,1,98,45,91,46,2,No,Tablet,203451,No,14,3,77,38,Kisumu,Yes,No,2.3999999999999999,60,B
S00041,Student_41,M,25,SE,BSc,2,2,56,62,30,31,5,No,Laptop,69953,No,10,1,181,27,Mombasa,Yes,No,1.5800000000000001,39.5,F
S00042,Student_42,M,31,CS,BSc,2,2,55,95,88,71,5,No,Desktop,52852,No,9,4,78,41,Nairobi,Yes,Yes,3.1000000000000001,77.599999999999994,A
S00043,Student_43,M,18,IT,MSc,3,1,77,65,83,99,4,Yes,Desktop,243553,Yes,15,8,180,47,Nakuru,Yes,Yes,3.4700000000000002,86.799999999999997,A
S00044,Student_44,F,20,SE,BSc,4,1,92,73,28,52,6,No,Desktop,293639,Yes,5,7,187,9,Mombasa,Yes,No,2.2200000000000002,55.399999999999999,C
S00045,Student_45,M,24,CS,MSc,2,2,86,72,86,92,11,No,Laptop,35065,No,1,2,147,10,Nakuru,Yes,Yes,3.4500000000000002,86.200000000000003,A
S00046,Student_46,F,21,AI,BSc,4,2,83,68,61,78,12,No,Tablet,97616,No,2,1,153,46,Mombasa,Yes,Yes,2.9199999999999999,73.099999999999994,A
S00047,Student_47,M,20,CS,BSc,4,1,47,59,50,83,2,Yes,Laptop,31623,Yes,15,5,196,33,Nairobi,Yes,No,2.7200000000000002,68,B
S00048,Student_48,F,35,CS,MSc,1,1,89,37,77,78,3,No,Laptop,225548,Yes,14,0,51,16,Kisumu,Yes,Yes,2.8300000000000001,70.700000000000003,A
S00049,Student_49,M,33,CS,MSc,3,1,44,59,47,23,12,No,Desktop,291266,Yes,3,5,74,31,Nairobi,No,No,1.48,37.100000000000001,F
S00050,Student_50,M,26,AI,BSc,4,2,91,52,41,55,12,Yes,Tablet,119589,Yes,6,6,95,0,Mombasa,Yes,No,2.21,55.200000000000003,C
S00051,Student_51,M,25,AI,BSc,1,1,84,44,79,43,7,Yes,Laptop,112874,No,2,3,191,44,Nakuru,Yes,No,2.1800000000000002,54.5,C
S00052,Student_52,F,32,AI,MSc,2,1,87,50,44,99,8,No,Laptop,228155,Yes,9,6,102,21,Eldoret,Yes,Yes,3.0800000000000001,77,A
S00053,Student_53,F,27,DS,MSc,1,1,84,41,52,86,2,No,Laptop,190022,Yes,7,6,51,22,Nairobi,Yes,No,2.7999999999999998,70,A
S00054,Student_54,M,18,SE,MSc,4,1,58,62,51,45,5,No,Laptop,59981,Yes,4,1,3,16,Mombasa,No,No,2.04,50.899999999999999,C
S00055,Student_55,M,20,SE,MSc,1,2,71,72,49,34,8,Yes,Desktop,293199,No,8,5,70,31,Eldoret,No,No,1.9299999999999999,48.299999999999997,D
S00056,Student_56,F,33,DS,MSc,3,1,72,98,33,60,8,Yes,Tablet,57006,No,13,6,18,52,Nakuru,No,No,2.54,63.399999999999999,B
S00057,Student_57,F,31,DS,BSc,3,2,65,76,90,93,10,No,Tablet,249237,No,8,3,106,5,Nairobi,No,No,3.4500000000000002,86.200000000000003,A
S00058,Student_58,F,19,IT,BSc,3,2,66,46,47,90,4,Yes,Desktop,66623,Yes,13,3,116,34,Eldoret,Yes,Yes,2.8100000000000001,70.200000000000003,A
S00059,Student_59,F,33,CS,BSc,1,1,95,65,84,31,1,No,Laptop,220086,No,5,8,17,48,Kisumu,Yes,No,2.1899999999999999,54.799999999999997,C
S00060,Student_60,M,27,SE,BSc,1,1,100,39,63,43,9,No,Desktop,290854,No,5,2,200,21,Mombasa,No,No,2.0800000000000001,51.899999999999999,C
S00061,Student_61,M,31,SE,BSc,2,2,48,66,71,35,9,Yes,Tablet,35357,Yes,8,3,190,26,Kisumu,Yes,No,1.99,49.700000000000003,D
S00062,Student_62,F,18,IT,BSc,4,1,76,48,56,54,2,No,Tablet,285013,Yes,8,6,129,48,Kisumu,Yes,No,2.2200000000000002,55.399999999999999,C
S00063,Student_63,F,22,CS,MSc,3,2,67,90,59,34,7,No,Desktop,74379,Yes,10,5,136,15,Nakuru,Yes,No,2.1400000000000001,53.5,C
S00064,Student_64,M,27,AI,BSc,3,2,62,54,84,53,2,Yes,Tablet,289215,Yes,4,7,176,20,Nairobi,Yes,No,2.4100000000000001,60.299999999999997,B
S00065,Student_65,M,23,AI,MSc,1,1,43,94,29,56,6,No,Laptop,253202,Yes,7,3,179,48,Mombasa,Yes,No,2.2799999999999998,56.899999999999999,C
S00066,Student_66,M,20,CS,MSc,2,2,63,71,53,50,5,No,Tablet,182085,No,9,1,17,1,Mombasa,Yes,No,2.2400000000000002,56.100000000000001,C
S00067,Student_67,M,28,CS,MSc,3,2,74,38,39,24,7,No,Laptop,29275,Yes,5,6,19,3,Eldoret,Yes,No,1.3899999999999999,34.799999999999997,F
S00068,Student_68,F,19,DS,BSc,4,1,69,70,75,51,5,Yes,Laptop,71411,No,3,6,150,45,Mombasa,Yes,No,2.46,61.399999999999999,B
S00069,Student_69,F,31,SE,MSc,3,2,82,63,71,38,10,Yes,Tablet,96551,No,7,5,63,2,Nairobi,Yes,No,2.1600000000000001,54,C
S00070,Student_70,F,32,IT,BSc,1,1,40,99,94,67,8,No,Tablet,230665,Yes,6,8,25,5,Eldoret,Yes,Yes,3.04,76.099999999999994,A
S00071,Student_71,M,32,AI,MSc,1,1,57,73,77,45,2,No,Laptop,136246,No,10,6,18,25,Eldoret,Yes,No,2.3300000000000001,58.200000000000003,C
S00072,Student_72,F,29,IT,MSc,1,1,50,42,84,86,11,No,Desktop,193214,Yes,11,1,185,26,Mombasa,Yes,Yes,2.9300000000000002,73.200000000000003,A
S00073,Student_73,F,27,SE,BSc,2,2,49,56,38,79,5,Yes,Tablet,69139,Yes,1,6,127,48,Nakuru,No,No,2.5299999999999998,63.200000000000003,B
S00074,Student_74,M,33,DS,BSc,3,2,73,93,29,65,6,No,Desktop,64930,No,6,6,15,4,Nakuru,Yes,No,2.5699999999999998,64.200000000000003,B
S00075,Student_75,F,31,CS,MSc,4,2,69,61,37,89,8,No,Laptop,78032,No,10,8,105,52,Nairobi,No,No,2.8399999999999999,71,A
S00076,Student_76,F,34,DS,BSc,2,1,49,97,56,57,1,No,Laptop,49543,Yes,11,8,78,1,Nairobi,Yes,No,2.5600000000000001,64,B
S00077,Student_77,F,23,DS,MSc,1,2,61,88,67,51,4,Yes,Desktop,64281,No,14,2,82,19,Nairobi,Yes,No,2.5,62.600000000000001,B
S00078,Student_78,M,33,IT,MSc,4,2,68,97,26,64,6,No,Desktop,281527,Yes,14,1,100,20,Mombasa,Yes,No,2.54,63.399999999999999,B
S00079,Student_79,F,32,DS,MSc,1,1,97,82,92,41,2,No,Desktop,188535,Yes,1,3,30,50,Mombasa,Yes,No,2.6000000000000001,65,B
S00080,Student_80,M,31,IT,MSc,3,1,44,39,30,52,12,No,Tablet,277519,No,8,8,180,0,Nairobi,Yes,No,1.77,44.200000000000003,D
S00081,Student_81,M,29,SE,BSc,4,2,47,72,69,45,4,Yes,Tablet,172554,No,1,4,41,12,Mombasa,No,No,2.2200000000000002,55.399999999999999,C
S00082,Student_82,M,28,SE,MSc,4,2,56,45,37,71,12,Yes,Laptop,132156,No,5,2,187,38,Nakuru,Yes,No,2.2999999999999998,57.5,C
S00083,Student_83,F,22,IT,BSc,3,1,79,32,94,37,3,No,Desktop,193197,Yes,9,8,59,10,Kisumu,Yes,No,2.0600000000000001,51.600000000000001,C
S00084,Student_84,F,20,SE,MSc,4,2,49,58,41,44,10,No,Desktop,49148,Yes,8,4,196,43,Nairobi,Yes,No,1.8700000000000001,46.700000000000003,D
S00085,Student_85,M,29,AI,BSc,1,1,79,37,29,99,10,No,Laptop,43282,No,14,8,55,45,Nakuru,Yes,Yes,2.8199999999999998,70.599999999999994,A
S00086,Student_86,M,21,AI,BSc,2,2,95,41,80,74,11,Yes,Desktop,274593,No,9,8,26,38,Nakuru,Yes,Yes,2.8300000000000001,70.700000000000003,A
S00087,Student_87,M,19,DS,MSc,1,2,44,66,38,30,9,No,Laptop,36774,No,4,0,14,1,Eldoret,Yes,No,1.6100000000000001,40.200000000000003,D
S00088,Student_88,F,28,CS,BSc,1,1,54,31,55,28,1,No,Laptop,91907,Yes,6,2,170,27,Nairobi,Yes,No,1.46,36.600000000000001,F
S00089,Student_89,M,20,DS,BSc,1,2,43,89,42,29,2,Yes,Tablet,286096,Yes,8,0,95,58,Kisumu,Yes,No,1.8,45,D
S00090,Student_90,F,29,SE,MSc,3,2,80,56,53,40,4,No,Tablet,193796,Yes,1,5,57,40,Nakuru,Yes,No,1.99,49.799999999999997,D
S00091,Student_91,M,31,CS,MSc,2,2,72,76,73,21,2,Yes,Laptop,178408,Yes,4,1,134,40,Mombasa,Yes,No,1.8999999999999999,47.5,D
S00092,Student_92,F,21,CS,MSc,4,2,68,95,73,21,3,No,Desktop,94984,Yes,3,3,5,59,Nairobi,No,No,2.04,50.899999999999999,C
S00093,Student_93,F,23,IT,BSc,4,2,98,46,73,67,8,No,Tablet,181478,No,13,4,116,42,Eldoret,Yes,No,2.6800000000000002,67.099999999999994,B
S00094,Student_94,M,31,AI,BSc,4,1,90,39,56,57,7,Yes,Tablet,66739,Yes,3,2,61,36,Mombasa,Yes,No,2.2599999999999998,56.5,C
S00095,Student_95,M,22,SE,BSc,2,1,95,68,47,76,11,Yes,Laptop,25883,Yes,14,2,82,7,Nairobi,Yes,Yes,2.8199999999999998,70.5,A
S00096,Student_96,F,21,CS,MSc,1,2,48,91,40,87,9,No,Tablet,145542,Yes,4,8,168,17,Nakuru,Yes,Yes,2.98,74.5,A
S00097,Student_97,F,25,SE,BSc,2,2,78,60,99,37,4,No,Desktop,260326,No,6,4,139,15,Eldoret,Yes,No,2.3199999999999998,58.100000000000001,C
S00098,Student_98,M,34,AI,BSc,4,2,72,92,53,83,11,Yes,Desktop,291349,No,1,0,144,8,Eldoret,Yes,Yes,3.1099999999999999,77.700000000000003,A
S00099,Student_99,M,24,SE,MSc,3,2,88,100,65,65,4,No,Tablet,28844,No,13,4,134,10,Mombasa,Yes,Yes,2.9700000000000002,74.299999999999997,A
S00100,Student_100,F,22,SE,MSc,2,2,90,63,67,83,1,Yes,Desktop,131888,Yes,7,7,35,59,Eldoret,Yes,Yes,3.0600000000000001,76.5,A
S00101,Student_101,F,21,DS,BSc,1,1,97,76,57,22,8,Yes,Laptop,207371,Yes,4,5,30,43,Nakuru,Yes,No,1.8899999999999999,47.299999999999997,D
S00102,Student_102,M,31,AI,MSc,3,1,55,44,80,34,9,Yes,Tablet,173619,No,3,1,161,1,Eldoret,Yes,No,1.8899999999999999,47.299999999999997,D
S00103,Student_103,F,20,SE,BSc,4,2,84,64,46,45,5,Yes,Desktop,64278,No,13,1,188,48,Nakuru,Yes,No,2.1200000000000001,52.899999999999999,C
S00104,Student_104,M,20,IT,MSc,4,2,71,65,42,43,9,No,Desktop,241040,No,1,1,78,37,Nakuru,Yes,No,2,50,C
S00105,Student_105,M,29,IT,BSc,3,1,57,100,28,60,3,Yes,Laptop,217202,No,10,3,40,43,Kisumu,Yes,No,2.4500000000000002,61.299999999999997,B
S00106,Student_106,M,32,AI,MSc,2,2,50,51,43,56,10,No,Laptop,184181,No,11,3,132,45,Kisumu,Yes,No,2.0699999999999998,51.799999999999997,C
S00107,Student_107,M,30,SE,MSc,2,1,44,66,50,86,1,Yes,Tablet,74118,Yes,7,7,64,45,Kisumu,Yes,Yes,2.8199999999999998,70.599999999999994,A
S00108,Student_108,F,35,IT,BSc,2,2,84,40,40,39,12,Yes,Laptop,44542,No,8,8,121,8,Mombasa,Yes,No,1.76,43.899999999999999,D
S00109,Student_109,M,21,SE,BSc,2,1,46,36,72,61,3,Yes,Desktop,109943,Yes,8,8,200,23,Eldoret,Yes,No,2.27,56.700000000000003,C
S00110,Student_110,F,29,CS,BSc,1,2,89,36,72,70,2,No,Tablet,48127,No,12,0,184,49,Nairobi,Yes,No,2.6200000000000001,65.5,B
S00111,Student_111,F,32,SE,MSc,3,2,70,69,88,77,6,Yes,Laptop,199814,Yes,7,3,164,4,Eldoret,Yes,Yes,3.0800000000000001,76.900000000000006,A
S00112,Student_112,M,27,CS,MSc,1,2,84,85,68,22,9,No,Tablet,148240,Yes,0,4,198,10,Eldoret,Yes,No,2,50,C
S00113,Student_113,M,26,SE,BSc,3,1,76,89,27,72,2,Yes,Laptop,202894,No,13,3,39,9,Nakuru,Yes,No,2.6699999999999999,66.799999999999997,B
S00114,Student_114,M,21,SE,BSc,4,2,48,63,56,23,2,Yes,Tablet,255002,Yes,5,3,4,1,Kisumu,Yes,No,1.6000000000000001,40.100000000000001,D
S00115,Student_115,M,34,CS,MSc,1,1,71,33,76,50,8,Yes,Desktop,166327,Yes,7,3,47,57,Eldoret,Yes,No,2.1600000000000001,53.899999999999999,C
S00116,Student_116,F,35,CS,MSc,4,1,75,87,64,56,11,No,Laptop,167392,No,14,1,75,7,Kisumu,Yes,No,2.6299999999999999,65.700000000000003,B
S00117,Student_117,F,22,SE,MSc,1,1,62,73,60,99,10,Yes,Tablet,103831,No,7,4,92,14,Eldoret,Yes,Yes,3.29,82.299999999999997,A
S00118,Student_118,F,35,DS,BSc,1,1,49,100,74,93,7,No,Tablet,146411,No,0,3,22,51,Eldoret,Yes,Yes,3.4500000000000002,86.200000000000003,A
S00119,Student_119,M,26,AI,MSc,2,2,54,80,40,28,12,No,Laptop,134570,No,10,4,112,33,Kisumu,No,No,1.74,43.399999999999999,D
S00120,Student_120,M,25,SE,BSc,3,1,73,99,73,87,6,No,Tablet,207059,No,10,6,109,54,Mombasa,Yes,Yes,3.4100000000000001,85.200000000000003,A
S00121,Student_121,F,28,DS,MSc,3,1,59,47,96,33,3,No,Laptop,246851,Yes,14,1,175,31,Kisumu,Yes,No,2.04,51,C
S00122,Student_122,M,34,IT,MSc,2,2,56,53,56,55,4,No,Tablet,250433,No,4,8,68,13,Mombasa,Yes,No,2.2000000000000002,54.899999999999999,C
S00123,Student_123,M,23,IT,BSc,2,1,48,40,33,27,10,Yes,Tablet,211334,No,2,3,80,22,Kisumu,Yes,No,1.3200000000000001,32.899999999999999,F
S00124,Student_124,F,24,AI,BSc,1,2,67,62,59,40,9,Yes,Desktop,288133,Yes,5,3,131,14,Mombasa,Yes,No,2.04,50.899999999999999,C
S00125,Student_125,M,25,CS,MSc,2,2,43,62,33,22,7,No,Tablet,99716,No,5,8,126,58,Eldoret,Yes,No,1.3700000000000001,34.299999999999997,F
S00126,Student_126,M,33,SE,MSc,4,2,55,90,98,100,12,No,Desktop,151679,Yes,14,8,93,59,Nakuru,Yes,Yes,3.7200000000000002,93.099999999999994,A
S00127,Student_127,F,35,DS,MSc,1,1,89,43,33,87,7,Yes,Tablet,228907,No,11,7,150,45,Nairobi,Yes,No,2.7000000000000002,67.599999999999994,B
S00128,Student_128,M,28,AI,BSc,3,2,44,33,56,50,2,No,Tablet,122438,No,7,7,53,6,Nakuru,Yes,No,1.8899999999999999,47.200000000000003,D
S00129,Student_129,M,32,AI,MSc,3,2,61,43,53,38,5,Yes,Tablet,216730,No,4,8,144,4,Nakuru,Yes,No,1.77,44.299999999999997,D
S00130,Student_130,M,18,AI,MSc,2,2,82,98,83,57,6,No,Laptop,62061,Yes,10,2,127,2,Nairobi,No,No,2.9199999999999999,72.900000000000006,A
S00131,Student_131,M,28,AI,BSc,3,1,41,87,56,26,1,Yes,Laptop,144794,No,4,0,8,18,Mombasa,Yes,No,1.8300000000000001,45.700000000000003,D
S00132,Student_132,F,29,SE,MSc,3,2,63,75,86,84,12,No,Desktop,94807,No,10,6,3,19,Nairobi,Yes,Yes,3.2200000000000002,80.5,A
S00133,Student_133,F,22,CS,BSc,2,2,59,79,81,95,9,Yes,Desktop,50121,Yes,9,2,35,12,Nakuru,Yes,Yes,3.4199999999999999,85.400000000000006,A
S00134,Student_134,M,26,SE,BSc,4,2,40,97,88,87,12,No,Desktop,258740,Yes,6,7,31,25,Eldoret,No,No,3.3799999999999999,84.5,A
S00135,Student_135,F,18,IT,BSc,4,1,72,96,27,65,5,No,Desktop,191339,No,6,6,72,23,Nairobi,Yes,No,2.5699999999999998,64.299999999999997,B
S00136,Student_136,F,33,AI,MSc,3,2,61,88,67,30,12,No,Desktop,48261,No,5,0,11,55,Nairobi,Yes,No,2.0800000000000001,52.100000000000001,C
S00137,Student_137,F,23,IT,MSc,2,1,42,84,98,51,9,Yes,Laptop,168786,No,8,4,69,17,Nairobi,Yes,No,2.6400000000000001,66.099999999999994,B
S00138,Student_138,F,22,AI,MSc,4,2,61,54,70,96,10,No,Tablet,146281,No,2,1,181,13,Nakuru,Yes,Yes,3.1600000000000001,78.900000000000006,A
S00139,Student_139,M,35,AI,BSc,4,1,64,97,42,92,10,No,Desktop,212321,No,5,4,84,20,Eldoret,No,No,3.21,80.200000000000003,A
S00140,Student_140,F,18,IT,MSc,2,1,40,46,79,72,6,No,Tablet,228340,Yes,1,0,195,2,Kisumu,Yes,No,2.6000000000000001,65,B
S00141,Student_141,F,23,IT,BSc,2,1,40,57,99,97,8,Yes,Desktop,151805,No,7,7,24,52,Mombasa,Yes,Yes,3.3500000000000001,83.700000000000003,A
S00142,Student_142,F,24,DS,BSc,1,2,49,54,30,21,1,Yes,Desktop,49262,Yes,2,2,199,58,Eldoret,Yes,No,1.29,32.200000000000003,F
S00143,Student_143,F,35,DS,BSc,1,2,57,91,96,90,3,Yes,Desktop,100809,No,9,4,99,24,Kisumu,Yes,Yes,3.52,88.099999999999994,A
S00144,Student_144,F,23,IT,MSc,3,1,67,84,30,81,3,Yes,Tablet,284912,Yes,15,6,78,25,Nairobi,No,No,2.7999999999999998,70,A
S00145,Student_145,M,21,CS,MSc,2,2,82,57,68,85,8,No,Laptop,264846,No,6,8,185,59,Nairobi,Yes,Yes,3.0299999999999998,75.700000000000003,A
S00146,Student_146,M,31,AI,MSc,3,1,52,76,81,42,9,Yes,Tablet,290465,No,12,1,75,45,Mombasa,No,No,2.2999999999999998,57.600000000000001,C
S00147,Student_147,M,24,AI,MSc,2,2,77,65,56,83,11,Yes,Desktop,185975,No,10,2,184,53,Eldoret,Yes,Yes,2.9399999999999999,73.400000000000006,A
S00148,Student_148,M,35,CS,MSc,2,2,49,90,90,92,3,No,Laptop,55445,Yes,13,4,178,11,Eldoret,Yes,Yes,3.48,86.900000000000006,A
S00149,Student_149,M,34,DS,MSc,3,2,42,62,60,70,4,Yes,Laptop,289067,Yes,5,2,187,45,Kisumu,Yes,No,2.54,63.600000000000001,B
S00150,Student_150,M,35,CS,BSc,4,2,49,61,57,85,6,No,Laptop,44304,Yes,10,8,136,13,Nairobi,Yes,Yes,2.8399999999999999,71,A
S00151,Student_151,M,27,SE,MSc,1,1,79,41,97,55,7,No,Tablet,223454,No,14,3,99,21,Eldoret,Yes,No,2.52,63,B
S00152,Student_152,F,33,CS,MSc,4,2,40,61,100,68,2,No,Tablet,61868,Yes,1,0,67,42,Nakuru,Yes,Yes,2.8100000000000001,70.200000000000003,A
S00153,Student_153,M,31,AI,MSc,2,1,99,68,98,58,3,No,Desktop,207023,No,7,2,111,3,Eldoret,Yes,Yes,2.8799999999999999,72.099999999999994,A
S00154,Student_154,M,26,IT,MSc,3,1,94,75,92,43,2,No,Desktop,92059,Yes,8,4,44,54,Nairobi,No,No,2.5699999999999998,64.299999999999997,B
S00155,Student_155,F,23,SE,MSc,1,1,45,91,63,55,10,Yes,Tablet,208428,No,15,1,170,3,Kisumu,Yes,No,2.5099999999999998,62.799999999999997,B
S00156,Student_156,M,19,AI,MSc,1,1,91,79,28,90,3,No,Laptop,225993,No,3,5,142,9,Nakuru,Yes,Yes,3.02,75.5,A
S00157,Student_157,M,29,DS,MSc,4,1,55,74,66,41,2,No,Desktop,269085,No,1,8,59,15,Eldoret,Yes,No,2.1600000000000001,54,C
S00158,Student_158,M,18,AI,MSc,4,1,67,75,65,26,10,Yes,Desktop,275096,No,3,3,160,13,Nairobi,No,No,1.9099999999999999,47.700000000000003,D
S00159,Student_159,F,32,IT,MSc,3,2,93,81,55,49,5,No,Laptop,138982,No,4,3,51,3,Nakuru,Yes,No,2.4399999999999999,61,B
S00160,Student_160,F,19,CS,BSc,4,1,51,48,68,23,2,Yes,Desktop,197267,No,12,3,123,29,Nakuru,Yes,No,1.5900000000000001,39.799999999999997,F
S00161,Student_161,M,32,SE,BSc,1,1,96,66,31,85,8,Yes,Tablet,277764,Yes,7,8,143,3,Mombasa,No,No,2.8599999999999999,71.5,A
S00162,Student_162,F,19,SE,MSc,3,1,46,99,87,36,1,Yes,Tablet,240972,Yes,3,3,163,60,Kisumu,Yes,No,2.3900000000000001,59.799999999999997,C
